JobType,JobCompany,JobLink,JobLocation,JobListTime,Unnamed: 0,scientist,analyst,python,sql,java,scala,excel,hadoop,spark,linux,tableau,sas,hive,oracle,perl,mysql,matlab,html,tensorflow,spss,mongodb,machine learning,statistical analysis,data visualization,r,aws,Filtered_JobLocation
Senior Data Scientist,Transfix,https://www.linkedin.com/jobs/view/senior-data-scientist-at-transfix-1713716123?refId=b36d4818-937f-4735-8caf-2bc718928c80&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"New York, NY",1/29/20,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,New York
Data Scientist,Harnham,https://www.linkedin.com/jobs/view/data-scientist-at-harnham-1702934921?refId=b36d4818-937f-4735-8caf-2bc718928c80&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"New York, NY",1/4/20,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,New York
Data Scientist,Saks Fifth Avenue,https://www.linkedin.com/jobs/view/data-scientist-at-saks-fifth-avenue-1697764258?refId=b36d4818-937f-4735-8caf-2bc718928c80&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"New York, NY",2/7/20,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,New York
Principal Data Scientist,"Aetna, a CVS Health Company",https://www.linkedin.com/jobs/view/principal-data-scientist-at-aetna-a-cvs-health-company-1769052910?refId=b36d4818-937f-4735-8caf-2bc718928c80&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"New York, NY",2/21/20,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,New York
Data Scientist,Harnham,https://www.linkedin.com/jobs/view/data-scientist-at-harnham-1730339007?refId=b36d4818-937f-4735-8caf-2bc718928c80&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"New York, NY",2/12/20,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,New York
DATA SCIENTIST/NLP Development Manager,Eclaro,https://www.linkedin.com/jobs/view/data-scientist-nlp-development-manager-at-eclaro-1723473038?refId=b36d4818-937f-4735-8caf-2bc718928c80&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"New York, NY",2/27/20,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,New York
Senior Data Scientist,Glocomms,https://www.linkedin.com/jobs/view/senior-data-scientist-at-glocomms-1766404611?refId=b36d4818-937f-4735-8caf-2bc718928c80&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"New York, NY",3/4/20,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,New York
Data Scientist,The New York Times,https://www.linkedin.com/jobs/view/data-scientist-at-the-new-york-times-1693370230?refId=b36d4818-937f-4735-8caf-2bc718928c80&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"New York, NY",3/6/20,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,New York
Applied Data Scientist,Aptus Health,https://www.linkedin.com/jobs/view/applied-data-scientist-at-aptus-health-1743616971?refId=b36d4818-937f-4735-8caf-2bc718928c80&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"New York, NY",1/24/20,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,New York
Data Scientist,Deloitte,https://www.linkedin.com/jobs/view/data-scientist-at-deloitte-1712859163?refId=b36d4818-937f-4735-8caf-2bc718928c80&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"New York, NY",2/13/20,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,New York
Data Scientist,automotiveMastermind Inc.,https://www.linkedin.com/jobs/view/data-scientist-at-automotivemastermind-inc-1757068159?refId=b36d4818-937f-4735-8caf-2bc718928c80&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"New York, NY",2/27/20,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,New York
"Data Scientist, Analytics",Brex,https://www.linkedin.com/jobs/view/data-scientist-analytics-at-brex-1769917588?refId=b36d4818-937f-4735-8caf-2bc718928c80&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"New York, NY",3/6/20,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,New York
Data Scientist,DCM Ventures,https://www.linkedin.com/jobs/view/data-scientist-at-dcm-ventures-1768116323?refId=b36d4818-937f-4735-8caf-2bc718928c80&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"New York, NY",2/9/20,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,New York
Data Scientist,Confidential,https://www.linkedin.com/jobs/view/data-scientist-at-confidential-1702096538?refId=b36d4818-937f-4735-8caf-2bc718928c80&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"New York, NY",2/10/20,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,New York
Data Scientist,Kaplan,https://www.linkedin.com/jobs/view/data-scientist-at-kaplan-1753906165?refId=b36d4818-937f-4735-8caf-2bc718928c80&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"New York, NY",2/25/20,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,New York
Data Scientist,EnergyHub,https://www.linkedin.com/jobs/view/data-scientist-at-energyhub-1747424507?refId=b36d4818-937f-4735-8caf-2bc718928c80&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"New York, NY",2/21/20,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,New York
Data Scientist,Follain,https://www.linkedin.com/jobs/view/data-scientist-at-follain-1769085749?refId=b36d4818-937f-4735-8caf-2bc718928c80&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"New York, NY",2/10/20,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,New York
